suburb,med_price
ROSEBUD SOUTH,852500
ROSEDALE,350000
ROWVILLE,1050000
ROXBURGH PARK,635500
RUSHWORTH,340000
RUTHERGLEN,500000
RYE,1096000
SAFETY BEACH,1077500
SALE,502500
SAN REMO,1080000
SANCTUARY LAKES,734000
SANDHURST,1008000
SANDRINGHAM,2323500
SANDY POINT,820000
SASSAFRAS,920000
SAWMILL SETTLEMENT,776500
SCORESBY,920000
SEA LAKE,197500
SEABROOK,725000
SEAFORD,835000
SEAHOLME,1012500
SEASPRAY,535000
SEBASTOPOL,477000
SEDDON,1200000
SELBY,768800
SEVILLE,786000
SEVILLE EAST,700000
SEYMOUR,450000
SHEPPARTON,427500
SHEPPARTON NORTH,633000
SHOREHAM,1827500
SILVERLEAVES,1037600
SKENES CREEK,1450000
SKIPTON,300000
SKYE,766000
SMITHS BEACH,1155000
SMYTHES CREEK,627000
SMYTHESDALE,550000
SOLDIERS HILL,711000
SOMERS,1337000
SOMERVILLE,780000
SORRENTO,2190500
SOUTH GEELONG,1172500
SOUTH KINGSVILLE,1157500
SOUTH MELBOURNE,1990000
SOUTH MORANG,748300
SOUTH YARRA,1940000
SPOTSWOOD,1155000
SPRING GULLY,610000
SPRINGVALE,882500
SPRINGVALE SOUTH,795000
ST ALBANS,650000
ST ALBANS PARK,665000
ST ANDREWS BEACH,1550000
ST ARNAUD,310000
ST HELENA,1170000
ST KILDA,1900000
ST KILDA EAST,1446000
ST KILDA WEST,2315000
ST LEONARDS,750000
STANHOPE,217000
STAWELL,380000
STRATFORD,525000
STRATHDALE,640000
STRATHFIELDSAYE,667500
STRATHMERTON,323000
STRATHMORE,1605000
STRATHTULLOH,624300
STUDFIELD,972500
SUNBURY,662500
SUNDERLAND BAY,655000
SUNNYCLIFFS,256500
SUNSET STRIP,650000
SUNSHINE,855000
SUNSHINE NORTH,725000
SUNSHINE WEST,700000
SURF BEACH,890000
SURREY HILLS,2350000
SWAN HILL,375000
SYDENHAM,690000
SYNDAL,2195000
TALLANGATTA,447500
TANGAMBALANGA,714000
TARNEIT,641000
TATURA,460000
TAWONGA SOUTH,646500
TAYLORS HILL,933500
TAYLORS LAKES,920000
TECOMA,810000
TEMPLESTOWE,1441000
TEMPLESTOWE LOWER,1260000
TERANG,385000
THE BASIN,825000
THE HONEYSUCKLES,485000
THOMASTOWN,650000
THOMSON (GREATER GEELONG),500000
THORNBURY,1440000
THORNHILL PARK,570000
TIMBOON,440000
TONGALA,349500
TOONGABBIE,525000
TOORA,430000
TOORADIN,1031000
TOORAK,5550000
TOOTGAROOK,800000
TORQUAY,1250000
TRAFALGAR,567500
TRARALGON,480000
TRARALGON EAST,733500
TRAVANCORE,1220000
TRENTHAM,1175000
TRUGANINA,655000
TULLAMARINE,705000
TYABB,762000
UPPER FERNTREE GULLY,822000
UPWEY,865000
VENTNOR,830000
VENUS BAY,605000
VERMONT,1232000
VERMONT SOUTH,1357500
VIEWBANK,1060000
VIOLET TOWN,387500
WAHGUNYAH,562500
WALKERVILLE,490000
WALLAN,635000
WALLAN EAST,600000
WANDANA HEIGHTS,1100000
WANDIN NORTH,800000
WANGARATTA,522500
WANTIRNA,1120000
WANTIRNA SOUTH,1126300
WARBURTON,703500
WARNEET,729500
WARRACKNABEAL,232500
WARRAGUL,635000
WARRANDYTE,1215000
WARRANWOOD,1340000
WARRNAMBOOL,630000
WATERWAYS,1140000
WATSONIA,810000
WATSONIA NORTH,853100
WATTLE GLEN,938500
WAURN PONDS,825000
WEDDERBURN,465000
WEIR VIEWS,620000
WELSHPOOL,380000
WENDOUREE,490000
